year,cantons,costs_chf,cost_status_label,canton_code,canton_label,population,population_share_66_plus,premium_mean_monthly,premium_median_monthly,insurer_product_count,cost_per_capita,annual_premium_median,annual_premium_mean,premium_to_cost_ratio,cost_status_group,z_cost_per_capita,z_age_66_share,z_premium_median,belastungsindex,belastungsindex_rank_within_year,premium_cost_gap_z
2015,Schaffhausen,747845000.0,,SH,Schaffhausen,79836,0.1931960519064081,396.65,395.9,84,9367.265394057818,4750.799999999999,4759.799999999999,0.5071704280967312,,0.7030364813891736,1.2447354074661068,-0.00484487684132154,0.6885758196546298,7.0,-0.7078813582304951
2015,Solothurn,2366691000.0,,SO,Solothurn,266418,0.1777432455765001,393.81777777777774,394.2,45,8883.374997184876,4730.4,4725.813333333333,0.5325003167713909,,0.23817769001297556,0.3029656612975323,-0.033021660576374644,0.18981424375100503,10.0,-0.2711993505893502
2015,Schwyz,1217794000.0,,SZ,Schwyz,154093,0.1569182247084553,362.8244680851064,357.0,47,7902.980667518966,4284.0,4353.893617021276,0.5420739566790442,,-0.7036573331776991,-0.9662131660391707,-0.6495959870140112,-0.7689087464952186,20.0,0.05406134616368785
2015,Thurgau,2129535000.0,,TG,Thurgau,267429,0.1562246428023886,374.64767441860465,372.0,43,7962.992046487105,4464.0,4495.772093023255,0.5605933013545211,,-0.6460062260752923,-1.008483446380375,-0.4009773069988351,-0.6934921623977027,19.0,0.24502891907645724
2015,Ticino,3326189000.0,,TI,Ticino,351946,0.2063498377592016,439.745625,433.5,80,9450.850414552233,5202.0,5276.9475,0.5504266570540639,,0.7833340691389687,2.0463915791198724,0.618359281063387,1.1210076251143444,3.0,-0.16497478807558175
2015,Uri,273449000.0,,UR,Uri,35973,0.182970561254274,345.8826086956522,343.6,46,7601.506685569733,4123.200000000001,4150.591304347827,0.5424187822957847,,-0.9932742211877496,0.621543895820028,-0.8716953411609015,-0.4784340660787043,17.0,0.12157888002684802
2015,Vaud,6883186000.0,,VD,Vaud,773407,0.1533759068640444,489.20187500000003,481.65,80,8899.823766787733,5779.799999999999,5870.422500000001,0.649428589987253,,0.2539795228383902,-1.182099375052386,1.416425243912102,0.11376728373958528,12.0,1.1624457210737118
2015,Valais,2701055000.0,,VS,Valais,335696,0.1757870215909632,362.2061111111111,360.1,90,8046.13400219246,4321.200000000001,4346.473333333333,0.5370529497548181,,-0.5661342771967676,0.18374378489685175,-0.5982147931442078,-0.34919098755554184,15.0,-0.032080515947440214
2015,Zug,858042000.0,,ZG,Zug,122134,0.153438027085005,349.3195652173913,346.5,46,7025.414708434998,4158.0,4191.834782608696,0.5918511821099666,,-1.5467082672919858,-1.1783134643590785,-0.8236290630246345,-1.2554200253452759,26.0,0.7230792042673514
2015,Zürich,12646938000.0,,ZH,Zürich,1466424,0.1590072175578141,413.2641379310345,409.0,145,8624.339208850919,4908.0,4959.169655172414,0.5690870779946893,,-0.010670115742759745,-0.8388997044266395,0.21228210370526598,-0.2034009374859172,14.0,0.22295221944802573
