year,canton,is_66_plus,population,total_population,population_share_66_plus
2023,Bern,True,221633,1063533,0.2083931575230858
2023,Fribourg,True,53886,341537,0.15777499948761042
2023,Genève,True,81591,524410,0.15558627791232052
2023,Glarus,True,8418,42056,0.2001616891763363
2023,Graubünden,True,44515,204888,0.21726504236460895
2023,Jura,True,15757,74548,0.21136717282824488
2023,Luzern,True,75906,432744,0.17540624480062114
2023,Neuchâtel,True,33500,178291,0.18789507041858536
2023,Nidwalden,True,9474,45016,0.2104585036431491
2023,Obwalden,True,7682,39272,0.1956101038908128
2023,Ohne Angabe,True,0,0,
2023,Schaffhausen,True,18032,87111,0.207000264030949
2023,Schweiz,True,1629483,8962258,0.18181612267801261
2023,Schwyz,True,30372,167403,0.1814304403146897
2023,Solothurn,True,56326,286844,0.1963645744725356
2023,St. Gallen,True,96720,535114,0.180746532514567
2023,Thurgau,True,53125,295220,0.1799505453560057
2023,Ticino,True,80366,357720,0.22466174661746618
2023,Uri,True,7875,37931,0.20761382510347737
2023,Valais,True,70886,365844,0.19376018193546976
2023,Vaud,True,133676,845870,0.15803374040928275
2023,Zug,True,22656,132556,0.1709164428618848
2023,Zürich,True,262184,1605508,0.1633028300076985
2024,Aargau,True,132156,735808,0.17960663651387318
2024,Appenzell Ausserrhoden,True,11497,56705,0.2027510801516621
2024,Appenzell Innerrhoden,True,3339,16733,0.19954580768541205
2024,Basel-Landschaft,True,66083,301323,0.21930951171998156
2024,Basel-Stadt,True,37382,201384,0.18562547173558971
2024,Bern,True,226061,1071216,0.21103213544233843
2024,Fribourg,True,55592,346674,0.16035814626998274
2024,Genève,True,82810,531102,0.15592108483869388
2024,Glarus,True,8640,42371,0.20391305373958604
2024,Graubünden,True,45616,206138,0.22128865129185302
2024,Jura,True,16072,74840,0.2147514698022448
2024,Luzern,True,78009,437944,0.1781255137643169
2024,Neuchâtel,True,33962,179518,0.18918437148363954
2024,Nidwalden,True,9819,45345,0.21653986106516707
2024,Obwalden,True,7964,39662,0.2007967323886844
2024,Ohne Angabe,True,0,0,
2024,Schaffhausen,True,18452,88667,0.2081044808102225
